Hour:min:sec.msec,Value
10:10:44.659,5280.80
10:10:44.747,5280.80
10:10:44.799,5280.80
10:10:44.946,5280.80
10:10:45.026,5280.80
10:10:45.159,5280.80
10:10:45.227,5280.80
10:10:45.300,5280.80
10:10:45.379,5280.80
10:10:45.506,5280.80
10:10:45.659,5280.80
10:10:45.747,5280.80
10:10:45.799,5280.80
10:10:45.941,5280.80
10:10:46.007,5280.80
10:10:46.140,5280.80
10:10:46.220,5280.80
10:10:46.340,5280.80
10:10:46.420,5280.80
10:10:46.499,5280.80
10:10:46.627,5280.80
10:10:46.699,5280.80
10:10:46.840,5280.80
10:10:46.900,5280.80
10:10:46.980,5248.00
10:10:47.120,5248.00
10:10:47.180,5280.80
10:10:47.319,5280.80
10:10:47.420,5280.80
10:10:47.539,5280.80
10:10:47.599,5280.80
10:10:47.739,5280.80
10:10:47.826,5280.80
10:10:47.959,5280.80
10:10:48.020,5248.00
10:10:48.108,5248.00
10:10:48.160,5248.00
10:10:48.300,5248.00
10:10:48.446,5248.00
10:10:48.520,5248.00
10:10:48.659,5248.00
10:10:48.747,5248.00
10:10:48.807,5248.00
10:10:48.946,5248.00
10:10:49.007,5248.00
10:10:49.140,5248.00
10:10:49.227,5248.00
10:10:49.277,5248.00
10:10:49.427,5248.00
10:10:49.507,5248.00
10:10:49.640,5248.00
10:10:49.706,5248.00
10:10:49.840,5248.00
10:10:49.946,5248.00
10:10:49.980,5248.00
10:10:50.140,5248.00
10:10:50.199,5248.00
10:10:50.339,5248.00
10:10:50.419,5248.00
10:10:50.547,5248.00
10:10:50.620,5248.00
10:10:50.688,5248.00
10:10:50.819,5248.00
10:10:50.959,5248.00
10:10:51.039,5248.00
10:10:51.100,5248.00
10:10:51.180,5248.00
10:10:51.319,5248.00
10:10:51.380,5248.00
10:10:51.520,5248.00
10:10:51.659,5248.00
10:10:51.739,5248.00
10:10:51.800,5248.00
10:10:51.940,5248.00
10:10:52.020,5248.00
10:10:52.100,5248.00
10:10:52.220,5280.80
10:10:52.307,5280.80
10:10:52.459,5280.80
10:10:52.507,5280.80
10:10:52.640,5280.80
10:10:52.720,5280.80
10:10:52.779,5280.80
10:10:52.940,5248.00
10:10:53.007,5248.00
10:10:53.140,5280.80
10:10:53.206,5280.80
10:10:53.328,5248.00
10:10:53.420,5248.00
10:10:53.480,5248.00
10:10:53.620,5248.00
10:10:53.699,5248.00
10:10:53.840,5248.00
10:10:53.901,5280.80
10:10:54.046,5280.80
10:10:54.140,5248.00
10:10:54.187,5248.00
10:10:54.319,5248.00
10:10:54.400,5248.00
10:10:54.540,5248.00
10:10:54.619,5248.00
10:10:54.739,5248.00
10:10:54.819,5248.00
10:10:54.901,5248.00
10:10:55.020,5248.00
10:10:55.159,5248.00
10:10:55.160,5248.00
10:10:55.299,5248.00
10:10:55.459,5248.00
10:10:55.547,5248.00
10:10:55.659,5248.00
10:10:55.720,5248.00
10:10:55.819,5248.00
10:10:55.946,5248.00
10:10:56.000,5248.00
10:10:56.139,5248.00
10:10:56.227,5248.00
10:10:56.307,5248.00
10:10:56.420,5248.00
10:10:56.507,5248.00
10:10:56.659,5248.00
10:10:56.699,5248.00
10:10:56.839,5248.00
10:10:56.927,5248.00
10:10:56.980,5248.00
10:10:57.140,5248.00
10:10:57.199,5248.00
10:10:57.340,5248.00
10:10:57.400,5248.00
10:10:57.540,5248.00
10:10:57.620,5248.00
10:10:57.687,5248.00
10:10:57.819,5248.00
10:10:57.906,5215.20
10:10:58.039,5215.20
10:10:58.096,5248.00
10:10:58.240,5248.00
10:10:58.340,5248.00
10:10:58.380,5248.00
10:10:58.526,5248.00
10:10:58.659,5248.00
10:10:58.739,5215.20
10:10:58.826,5215.20
10:10:58.940,5215.20
10:10:59.026,5215.20
10:10:59.087,5215.20
10:10:59.227,5215.20
10:10:59.306,5215.20
10:10:59.440,5215.20
10:10:59.507,5215.20
10:10:59.659,5215.20
10:10:59.720,5215.20
10:10:59.779,5215.20
10:10:59.931,5215.20
10:11:00.026,5215.20
10:11:00.159,5215.20
10:11:00.207,5215.20
10:11:00.340,5215.20
10:11:00.420,5215.20
10:11:00.499,5215.20
10:11:00.619,5215.20
10:11:00.700,5215.20
10:11:00.760,5215.20
10:11:00.900,5215.20
10:11:01.040,5215.20
10:11:01.119,5215.20
10:11:01.180,5215.20
10:11:01.340,5215.20
10:11:01.459,5215.20
10:11:01.540,5215.20
10:11:01.607,5215.20
10:11:01.740,5215.20
10:11:01.827,5215.20
10:11:01.959,5215.20
10:11:02.020,5215.20
10:11:02.100,5215.20
10:11:02.247,5215.20
10:11:02.300,5215.20
10:11:02.441,5215.20
10:11:02.526,5215.20
10:11:02.659,5215.20
10:11:02.727,5215.20
10:11:02.819,5215.20
10:11:02.946,5215.20
10:11:03.026,5215.20
10:11:03.147,5215.20
10:11:03.220,5215.20
10:11:03.300,5215.20
10:11:03.420,5215.20
10:11:03.555,5215.20
10:11:03.647,5215.20
10:11:03.720,5215.20
10:11:03.786,5215.20
10:11:03.940,5215.20
10:11:03.986,5215.20
10:11:04.140,5215.20
10:11:04.227,5215.20
10:11:04.339,5215.20
10:11:04.400,5215.20
10:11:04.540,5215.20
10:11:04.619,5215.20
10:11:04.706,5215.20
10:11:04.819,5215.20
10:11:04.906,5215.20
10:11:04.960,5215.20
10:11:05.100,5215.20
10:11:05.239,5215.20
10:11:05.326,5215.20
10:11:05.379,5215.20
10:11:05.547,5215.20
10:11:05.659,5215.20
10:11:05.739,5215.20
10:11:05.799,5215.20
10:11:05.940,5215.20
10:11:06.027,5215.20
10:11:06.079,5215.20
10:11:06.227,5215.20
10:11:06.299,5215.20
10:11:06.440,5215.20
10:11:06.500,5215.20
10:11:06.639,5215.20
10:11:06.747,5215.20
10:11:06.787,5215.20
10:11:06.920,5215.20
10:11:07.000,5215.20
10:11:07.140,5215.20
10:11:07.227,5215.20
10:11:07.340,5215.20
10:11:07.420,5215.20
10:11:07.486,5215.20
10:11:07.640,5215.20
10:11:07.720,5215.20
10:11:07.760,5215.20
10:11:07.900,5215.20
10:11:08.048,5182.40
10:11:08.140,5182.40
10:11:08.181,5215.20
10:11:08.340,5215.20
10:11:08.452,5215.20
10:11:08.539,5215.20
10:11:08.608,5215.20
10:11:08.739,5215.20
10:11:08.819,5215.20
10:11:08.900,5215.20
10:11:09.020,5215.20
10:11:09.159,5215.20
10:11:09.160,5215.20
10:11:09.300,5182.40
10:11:09.380,5182.40
10:11:09.518,5182.40
10:11:09.579,5182.40
10:11:09.747,5182.40
10:11:09.807,5182.40
10:11:09.940,5215.20
10:11:09.999,5215.20
10:11:10.140,5215.20
10:11:10.227,5215.20
10:11:10.286,5215.20
10:11:10.412,5215.20
10:11:10.507,5215.20
10:11:10.647,5215.20
10:11:10.707,5215.20
10:11:10.780,5215.20
10:11:10.946,5215.20
10:11:10.986,5215.20
10:11:11.127,5215.20
10:11:11.199,5215.20
10:11:11.330,5182.40
10:11:11.420,5182.40
10:11:11.540,5215.20
10:11:11.620,5215.20
10:11:11.680,5215.20
10:11:11.820,5215.20
10:11:11.959,5215.20
10:11:12.040,5215.20
10:11:12.108,5215.20
10:11:12.187,5182.40
10:11:12.340,5182.40
10:11:12.380,5182.40
10:11:12.526,5182.40
10:11:12.659,5182.40
10:11:12.747,5182.40
10:11:12.819,5182.40
10:11:12.940,5182.40
10:11:13.021,5182.40
10:11:13.101,5182.40
10:11:13.227,5182.40
10:11:13.300,5182.40
10:11:13.387,5182.40
10:11:13.507,5182.40
10:11:13.659,5182.40
10:11:13.747,5182.40
10:11:13.779,5182.40
10:11:13.940,5182.40
10:11:14.000,5182.40
10:11:14.140,5182.40
10:11:14.199,5182.40
10:11:14.340,5182.40
10:11:14.427,5182.40
10:11:14.507,5182.40
10:11:14.620,5182.40
10:11:14.707,5182.40
10:11:14.840,5182.40
10:11:14.900,5215.20
10:11:15.047,5215.20
10:11:15.159,5182.40
10:11:15.199,5182.40
10:11:15.319,5182.40
10:11:15.406,5182.40
10:11:15.540,5182.40
10:11:15.627,5182.40
10:11:15.747,5182.40
10:11:15.826,5182.40
10:11:15.887,5182.40
10:11:16.021,5182.40
10:11:16.159,5182.40
10:11:16.247,5182.40
10:11:16.300,5182.40
10:11:16.459,5182.40
10:11:16.520,5182.40
10:11:16.659,5182.40
10:11:16.739,5182.40
10:11:16.819,5182.40
10:11:16.946,5182.40
10:11:17.020,5182.40
10:11:17.148,5182.40
10:11:17.227,5182.40
10:11:17.300,5182.40
10:11:17.428,5182.40
10:11:17.500,5182.40
10:11:17.579,5182.40
10:11:17.707,5182.40
10:11:17.840,5182.40
10:11:17.920,5182.40
10:11:17.987,5182.40
10:11:18.140,5182.40
10:11:18.199,5182.40
10:11:18.340,5182.40
10:11:18.400,5182.40
10:11:18.539,5182.40
10:11:18.612,5182.40
10:11:18.680,5182.40
10:11:18.819,5182.40
10:11:18.900,5182.40
10:11:19.040,5182.40
10:11:19.100,5182.40
10:11:19.240,5182.40
10:11:19.340,5182.40
10:11:19.387,5182.40
10:11:19.546,5182.40
10:11:19.659,5182.40
10:11:19.747,5182.40
10:11:19.819,5182.40
10:11:19.941,5182.40
10:11:20.027,5182.40
10:11:20.087,5182.40
10:11:20.220,5182.40
10:11:20.301,5182.40
10:11:20.440,5182.40
10:11:20.507,5182.40
10:11:20.659,5182.40
10:11:20.720,5182.40
10:11:20.786,5182.40
10:11:20.920,5182.40
10:11:21.020,5182.40
10:11:21.159,5182.40
10:11:21.206,5182.40
10:11:21.340,5182.40
10:11:21.419,5182.40
10:11:21.499,5182.40
10:11:21.619,5182.40
10:11:21.707,5182.40
10:11:21.779,5182.40
10:11:21.901,5182.40
10:11:21.981,5182.40
10:11:22.159,5149.60
10:11:22.188,5149.60
10:11:22.341,5149.60
10:11:22.459,5149.60
10:11:22.539,5149.60
10:11:22.600,5149.60
10:11:22.741,5149.60
10:11:22.819,5149.60
10:11:22.906,5149.60
10:11:23.020,5149.60
10:11:23.100,5149.60
10:11:23.239,5149.60
10:11:23.292,5149.60
10:11:23.440,5149.60
10:11:23.547,5149.60
10:11:23.659,5149.60
10:11:23.720,5149.60
10:11:23.806,5149.60
10:11:23.947,5149.60
10:11:24.020,5149.60
10:11:24.140,5149.60
10:11:24.227,5149.60
10:11:24.287,5149.60
10:11:24.420,5149.60
10:11:24.499,5149.60
10:11:24.640,5149.60
10:11:24.699,5149.60
10:11:24.787,5149.60
10:11:24.927,5149.60
10:11:24.980,5149.60
10:11:25.148,5149.60
10:11:25.227,5149.60
10:11:25.340,5149.60
10:11:25.400,5149.60
10:11:25.539,5149.60
10:11:25.627,5149.60
10:11:25.699,5149.60
10:11:25.819,5149.60
10:11:25.959,5149.60
10:11:25.967,5149.60
10:11:26.107,5149.60
10:11:26.185,5149.60
10:11:26.340,5149.60
10:11:26.380,5149.60
10:11:26.540,5149.60
10:11:26.620,5149.60
10:11:26.740,5149.60
10:11:26.819,5149.60
10:11:26.938,5149.60
10:11:27.020,5149.60
10:11:27.159,5149.60
10:11:27.220,5149.60
10:11:27.307,5149.60
10:11:27.441,5149.60
10:11:27.499,5149.60
10:11:27.640,5149.60
10:11:27.739,5149.60
10:11:27.780,5149.60
10:11:27.920,5149.60
10:11:28.056,5149.60
10:11:28.141,5149.60
10:11:28.220,5149.60
10:11:28.341,5149.60
10:11:28.420,5149.60
10:11:28.481,5149.60
10:11:28.619,5149.60
10:11:28.704,5149.60
10:11:28.840,5149.60
10:11:28.906,5149.60
10:11:28.980,5149.60
10:11:29.120,5149.60
10:11:29.187,5149.60
10:11:29.319,5149.60
10:11:29.427,5149.60
10:11:29.547,5149.60
10:11:29.600,5149.60
10:11:29.740,5149.60
10:11:29.820,5149.60
10:11:29.906,5149.60
10:11:30.026,5149.60
10:11:30.159,5149.60
10:11:30.160,5149.60
10:11:30.300,5149.60
10:11:30.440,5149.60
10:11:30.540,5149.60
10:11:30.659,5149.60
10:11:30.740,5149.60
10:11:30.800,5149.60
10:11:30.946,5149.60
10:11:31.020,5149.60
10:11:31.147,5149.60
10:11:31.220,5149.60
10:11:31.300,5182.40
10:11:31.427,5182.40
10:11:31.500,5149.60
10:11:31.640,5149.60
10:11:31.699,5182.40
10:11:31.840,5182.40
10:11:31.940,5149.60
10:11:31.980,5149.60
10:11:32.120,5182.40
10:11:32.199,5182.40
10:11:32.348,5182.40
10:11:32.427,5182.40
10:11:32.539,5182.40
10:11:32.627,5182.40
10:11:32.687,5182.40
